Area,Year,Region,SFBB,UFBB,Income
MENDIP,2016,South West,76.0,0.0,27379.0
MID DEVON,2016,South West,67.0,0.0,25618.0
NORTH SOMERSET,2016,South West,83.0,0.0,30086.0
PLYMOUTH,2016,South West,96.0,0.0,24970.0
SEDGEMOOR,2016,South West,80.0,1.0,23390.0
SOUTH GLOUCESTERSHIRE,2016,South West,91.0,1.0,29739.0
SOUTH HAMS,2016,South West,72.0,0.0,26413.0
SOUTH SOMERSET,2016,South West,79.0,0.0,24148.0
STROUD,2016,South West,75.0,2.0,26454.0
SWINDON,2016,South West,82.0,1.0,29248.0
TEIGNBRIDGE,2016,South West,80.0,0.0,24931.0
TORBAY,2016,South West,89.0,0.0,22412.0
TORRIDGE,2016,South West,72.0,0.0,23211.0
WEST DEVON,2016,South West,63.0,0.0,24492.0
WILTSHIRE,2016,South West,84.0,0.0,26857.0
BLAENAU GWENT,2016,Wales,96.0,1.0,22953.0
BRIDGEND,2016,Wales,92.0,0.0,26094.0
CAERPHILLY,2016,Wales,93.0,0.0,24449.0
CARDIFF,2016,Wales,94.0,2.0,27521.0
CARMARTHENSHIRE,2016,Wales,75.0,0.0,24551.0
CEREDIGION,2016,Wales,58.0,0.0,23074.0
DENBIGHSHIRE,2016,Wales,79.0,0.0,23693.0
FLINTSHIRE,2016,Wales,83.0,2.0,28602.0
ISLE OF ANGLESEY,2016,Wales,71.0,3.0,24075.0
MERTHYR TYDFIL,2016,Wales,29.0,2.0,22626.0
MONMOUTHSHIRE,2016,Wales,77.0,2.0,31846.0
NEATH PORT TALBOT,2016,Wales,93.0,0.0,24227.0
NEWPORT,2016,Wales,84.0,0.0,25394.0
PEMBROKESHIRE,2016,Wales,76.0,0.0,23184.0
POWYS,2016,Wales,60.0,0.0,25137.0
SWANSEA,2016,Wales,94.0,1.0,25394.0
TORFAEN,2016,Wales,93.0,0.0,25220.0
VALE OF GLAMORGAN,2016,Wales,90.0,0.0,32184.0
WREXHAM,2016,Wales,86.0,1.0,25845.0
BIRMINGHAM,2016,West Midlands,93.0,1.0,25994.0
BROMSGROVE,2016,West Midlands,90.0,1.0,30984.0
CANNOCK CHASE,2016,West Midlands,95.0,0.0,26140.0
COVENTRY,2016,West Midlands,91.0,0.0,27969.0
DUDLEY,2016,West Midlands,96.0,0.0,26845.0
EAST STAFFORDSHIRE,2016,West Midlands,86.0,0.0,26765.0
"HEREFORDSHIRE, COUNTY OF",2016,West Midlands,67.0,1.0,25004.0
LICHFIELD,2016,West Midlands,91.0,0.0,31725.0
NEWCASTLE-UNDER-LYME,2016,West Midlands,93.0,0.0,25862.0
NORTH WARWICKSHIRE,2016,West Midlands,84.0,0.0,29010.0
NUNEATON AND BEDWORTH,2016,West Midlands,97.0,0.0,25031.0
RUGBY,2016,West Midlands,90.0,0.0,28813.0
SANDWELL,2016,West Midlands,92.0,0.0,23201.0
SHROPSHIRE,2016,West Midlands,72.0,2.0,27264.0
SOLIHULL,2016,West Midlands,94.0,0.0,32000.0
SOUTH STAFFORDSHIRE,2016,West Midlands,83.0,0.0,28811.0
STAFFORD,2016,West Midlands,89.0,0.0,28793.0
STOKE-ON-TRENT,2016,West Midlands,98.0,0.0,22786.0
STRATFORD-ON-AVON,2016,West Midlands,74.0,0.0,31137.0
TAMWORTH,2016,West Midlands,99.0,0.0,25616.0
TELFORD AND WREKIN,2016,West Midlands,87.0,0.0,25472.0
WALSALL,2016,West Midlands,93.0,0.0,24268.0
WARWICK,2016,West Midlands,93.0,0.0,31416.0
WOLVERHAMPTON,2016,West Midlands,97.0,0.0,23085.0
WORCESTER,2016,West Midlands,97.0,0.0,26522.0
WYCHAVON,2016,West Midlands,81.0,1.0,28019.0
WYRE FOREST,2016,West Midlands,92.0,0.0,25259.0
BARNSLEY,2016,Yorkshire,82.0,0.0,24313.0
BRADFORD,2016,Yorkshire,93.0,1.0,24189.0
CALDERDALE,2016,Yorkshire,85.0,0.0,27751.0
DONCASTER,2016,Yorkshire,81.0,0.0,24616.0
EAST RIDING OF YORKSHIRE,2016,Yorkshire,50.0,17.0,26989.0
HAMBLETON,2016,Yorkshire,81.0,1.0,27784.0
HARROGATE,2016,Yorkshire,85.0,1.0,29109.0
"KINGSTON UPON HULL, CITY OF",2016,Yorkshire,1.0,31.0,23580.0
KIRKLEES,2016,Yorkshire,85.0,0.0,25599.0
LEEDS,2016,Yorkshire,92.0,1.0,27815.0
NORTH EAST LINCOLNSHIRE,2016,Yorkshire,97.0,0.0,26400.0
